name,political_party,twitter_account,wiki_data,last_updated
Ms Phoebe Noxolo Abraham,ANC,none_found,https://www.wikidata.org/wiki/Q56217418,2019-07-15
Ms Alexandra Lilian Amelia Abrahams,DA,none_found,https://www.wikidata.org/wiki/Q64399407,2019-07-15
Ms Rachel Cecilia Adams,ANC,none_found,,2019-07-15
Ms Nombuyiselo Gladys Adoons,ANC,none_found,https://www.wikidata.org/wiki/Q64399392,2019-07-31
Mr Thembinkosi Apleni,EFF,ApleniApleni,,2019-07-31
Mr Heinrich Giovanni April,ANC,none_found,https://www.wikidata.org/wiki/Q64399315,2019-07-31
Mr Andrew Arnolds,EFF,none_found,,2019-07-31
Ms Laetitia Heloise Arries,EFF,none_found,https://www.wikidata.org/wiki/Q64422651,2019-07-31
Mr Willem Abraham Stephanus Aucamp,DA,none_found,,2019-07-31
Mr Shaun Nigel August,GOOD,shaunaugust1,,2019-07-31
Mr Michael Bagraim,DA,none_found,,2019-07-31
Mr Kopeng Obed Bapela,ANC,obedbapela,,2019-07-31
Mr Mbulelo Richmond Bara,DA,mbulelob,,2019-07-31
Mr Leonard Jones Basson,DA,leon_basson,,2019-07-31
Ms Lindiwe Christabola Bebee,ANC,none_found,,2019-07-31
Mr Darren Bergman,DA,darrenbergman,,2019-07-31
Mr Sibongile Jeremia Besani,ANC,SibongileBesan1,https://www.wikidata.org/wiki/Q64399459,2019-07-31
Ms Alexandra Jennifer Beukes,ANC,none_found,,2019-07-31
Mr John Hlengani Bilankulu,ANC,none_found,https://www.wikidata.org/wiki/Q64399368,2019-07-31
Ms Nkhensani Kate Bilankulu,ANC,none_found,https://www.wikidata.org/wiki/Q47529693,2019-07-31
Adv Bongani Thomas Bongo,ANC,none_found,https://www.wikidata.org/wiki/Q46996204,2019-07-31
Ms Mmatlala Grace Boroto,ANC,none_found,https://www.wikidata.org/wiki/Q47529605,2019-07-31
Dr Wynand Johannes Boshoff,FFPlus,boshoff_wynand,,2019-07-31
Ms Hildegard Sonja Boshoff,DA,boshsonja,https://www.wikidata.org/wiki/Q47529812,2019-07-31
Mr Alvin Botes,ANC,alvinbotes,https://www.wikidata.org/wiki/Q51673650,2019-07-31
Prof Belinda Bozzolli,DA,belbozz,https://www.wikidata.org/wiki/Q47529914,2019-07-31
Mr Timothy James Brauteseth,DA,brauteseth_tim,https://www.wikidata.org/wiki/Q47529809,2019-07-31
Ms Tamarin Breedt,FFPlus,none_found,,2019-07-31
Adv Glynnis Breytenbach,DA,none_found,https://www.wikidata.org/wiki/Q17385681,2019-07-31
Mr Cilliers Brink,DA,brinkcilliers,https://www.wikidata.org/wiki/Q64399448,2019-07-31
Mr Elphas Mfakazeleni Buthelezi,IFP,none_found,https://www.wikidata.org/wiki/Q48087000,2019-07-31
Prince Mangosuthu Gatsha Buthelezi,IFP,none_found,https://www.wikidata.org/wiki/Q554131,2019-07-31
Mr Norbert Sfiso Buthelezi,ANC,mpsfiso,https://www.wikidata.org/wiki/Q47536793,2019-07-31
Mr Ghaleb Kaene Yusuf Cachalia,DA,GhalebCachalia,https://www.wikidata.org/wiki/Q29958484,2019-07-31
Mr Ndumiso Capa,ANC,none_found,https://www.wikidata.org/wiki/Q47529650,2019-07-31
Mrs Rosemary Nokuzola Capa,ANC,none_found,https://www.wikidata.org/wiki/Q47529783,2019-07-31
Dr Michael John Cardo,DA,michaelcardo,https://www.wikidata.org/wiki/Q47529937,2019-07-31
Mr Yunus Ismail Carrim,ANC,none_found,https://www.wikidata.org/wiki/Q16727851,2019-07-31
Inkosi Russel Nsikayezwe Cebekhulu,IFP,none_found,https://www.wikidata.org/wiki/Q47530136,2019-07-31
Mr Bhekokwakhe Hamilton Cele,ANC,none_found,https://www.wikidata.org/wiki/Q4901661,2019-07-31
Mr Khanya Ceza,EFF,cezakhanya,https://www.wikidata.org/wiki/Q64422658,2019-07-31
Mr Mosa Steve Chabane,ANC,ChabaneMosa1,https://www.wikidata.org/wiki/Q64399364,2019-07-31
Mr Makosini Mishack Chabangu,EFF,none_found,https://www.wikidata.org/wiki/Q64399429,2019-07-31
Mr Mergan Chetty,DA,none_found,https://www.wikidata.org/wiki/Q64399475,2019-07-31
Ms Lydia Sindisiwe Chikunga,ANC,SindiChikunga,https://www.wikidata.org/wiki/Q47529839,2019-07-31
Ms Naledi Nokukhanya Chirwa,EFF,NalediChirwa,https://www.wikidata.org/wiki/Q64399440,2019-07-31
Ms Delmaine Chesley Christians,DA,mynie90,,2019-07-31
Mrs Michéle Odette Clarke,DA,none_found,https://www.wikidata.org/wiki/Q64399302,2019-07-31
Mr Armand Benjamin Cloete,FFPlus,cloete_armand,,2019-07-31
Ms Barbara Dallas Creecy,ANC,BarbaraCreecy_,https://www.wikidata.org/wiki/Q64399416,2019-07-31
Mr Mathew John Cuthbert,DA,none_found,https://www.wikidata.org/wiki/Q64399307,2019-07-31
Mr Mohammed Dangor,ANC,none_found,,2019-07-31
Mr Manuel Simao Franca De Freitas,DA,none_found,https://www.wikidata.org/wiki/Q6752973,2019-07-31
Ms Patricia De Lille,GOOD,PatriciaDeLille,https://www.wikidata.org/wiki/Q445654,2019-07-31
Mr Jan Naudé De Villiers,DA,none_found,https://www.wikidata.org/wiki/Q64399404,2019-07-31
Mr Sibongiseni Maxwell Dhlomo,ANC,none_found,https://www.wikidata.org/wiki/Q64399344,2019-07-31
Ms Angela Thokozile Didiza,ANC,ThokoDidiza,https://www.wikidata.org/wiki/Q7786663,2019-07-31
Ms Masefako Clarah Dikgale,ANC,none_found,https://www.wikidata.org/wiki/Q64399371,2019-07-31
Ms Dikeledi Rosemary Direko,ANC,none_found,https://www.wikidata.org/wiki/Q64399296,2019-07-31
Mr Mervyn Alexander Dirks,ANC,none_found,https://www.wikidata.org/wiki/Q47529673,2019-07-31
Ms Dorries Eunice Dlakude,ANC,none_found,https://www.wikidata.org/wiki/Q47529844,2019-07-31
Ms Dorah Dunana Dlamini,ANC,none_found,https://www.wikidata.org/wiki/Q64399347,2019-07-31
