,Name,Political Party,Twitter Handle
0,Phoebe Noxolo Abraham,African National Congress (ANC),
1,Alexandra Lilian Amelia Abrahams,Democratic Alliance (DA),
2,Rachel Cecilia Adams,African National Congress (ANC),
3,Nombuyiselo Gladys Adoons,African National Congress (ANC),
4,Heinrich Giovanni April,African National Congress (ANC),
5,Laetitia Heloise Arries,Economic Freedom Fighters (EFF),
6,Shaun Nigel August,Good,@ShaunAugust1
7,Mr Michael Bagraim,Democratic Alliance (DA),
8,Mr Obed Bapela,African National Congress (ANC),@ObedBapela
9,Mr Leonard Jones Basson,Democratic Alliance (DA),@leon_basson
10,Mr Darren Bergman,Democratic Alliance (DA),@darrenbergman
11,Alexandra Jennifer Beukes,African National Congress (ANC),
12,John Hlengani Bilankulu,African National Congress (ANC),
13,Ms Nkhensani Kate Bilankulu,African National Congress (ANC),
14,Ms Henrietta Bogopane-Zulu,African National Congress (ANC),@BogopaneZulu
15,Adv Bongani Thomas Bongo,African National Congress (ANC),
16,Ms Mmatlala Grace Boroto,African National Congress (ANC),
17,Wynand Johannes Boshoff,"Freedom Front + (Vryheidsfront Plus, FF+)",
18,Alvin Botes,African National Congress (ANC),@alvinbotes
19,Professor Belinda Bozzoli,Democratic Alliance (DA),@belbozz
20,Tamarin Breedt,"Freedom Front + (Vryheidsfront Plus, FF+)",
21,Adv Glynnis Breytenbach,Democratic Alliance (DA),
22,Cilliers Brink,Democratic Alliance (DA),@BrinkCilliers
23,Elphas Mfakazeleni Buthelezi,Inkatha Freedom Party (IFP),
24,Mr Sfiso Norbert Buthelezi,African National Congress (ANC),
25,Prince Mangosuthu Gatsha Buthelezi,Inkatha Freedom Party (IFP),
26,Ghaleb Cachalia,Democratic Alliance (DA),@GhalebCachalia
27,Mr Ndumiso Capa,African National Congress (ANC),
28,Ms Rosemary Nokuzola Capa,African National Congress (ANC),
29,Dr Michael John Cardo,Democratic Alliance (DA),@michaelcardo
30,Mr Russel Nsikayezwe Cebekhulu,Inkatha Freedom Party (IFP),
31,Mr Bheki Cele,African National Congress (ANC),
32,Khanya Ceza,Economic Freedom Fighters (EFF),
33,Mosa Steve Chabane,African National Congress (ANC),
34,Mr Makosini Chabangu,Economic Freedom Fighters (EFF),
35,Mr Mergan Chetty,Democratic Alliance (DA),
36,Ms Sindi Chikunga,African National Congress (ANC),@SindiChikunga
37,Naledi Nokukhanya Chirwa,Economic Freedom Fighters (EFF),@NalediChirwa
38,Michéle Clarke,Democratic Alliance (DA),
39,Barbara Creecy,African National Congress (ANC),@BarbaraCreecy_
40,Mathew John Cuthbert,Democratic Alliance (DA),@TheMatCuthbert
41,Mr Manuel Simão Franca De Freitas,Democratic Alliance (DA),@MannydeFreitas
42,Patricia de Lille,Good,
43,Jan Naudé De Villiers,Democratic Alliance (DA),
44,Sibongiseni Maxwell Dhlomo,African National Congress (ANC),
45,Ms Thoko Didiza,African National Congress (ANC),
46,Ms Masefako Clarah Dikgale,African National Congress (ANC),
47,Dikeledi Rosemary Direko,African National Congress (ANC),
48,Mervyn Alexander Dirks,African National Congress (ANC),
49,Ms Dorries Eunice Dlakude,African National Congress (ANC),
50,Mr Marshall Mzingisi Dlamini,Economic Freedom Fighters (EFF),@DlaminiMarshall
51,Sidumo Mbongeni Dlamini,African National Congress (ANC),
52,Dorah Dunana Dlamini,African National Congress (ANC),
53,Dr Nkosazana Dlamini-Zuma,African National Congress (ANC),@DlaminiZuma
54,Ms Ayanda Dlodlo,African National Congress (ANC),@MinAyandaDlodlo
55,Ms Beauty Nomvuzo Dlulane,African National Congress (ANC),
